,,0
lh_208_69,lh_208_103,0.9614973262032086
lh_208_69,lh_208_106,0.7848739495798319
lh_208_69,lh_208_110,0.970970206264324
lh_208_69,lh_208_113,0.8505729564553094
lh_208_69,lh_208_114,0.9605805958747136
lh_208_69,lh_208_121,0.9422459893048128
lh_208_69,lh_208_122,0.9498854087089381
lh_208_69,lh_208_126,0.5572293430381711
lh_208_69,lh_208_143,0.7729564553093965
lh_208_69,lh_7001_112,0.5391902215431628
lh_208_69,lh_7003_62,0.5408195133551719
lh_208_69,lh_7003_102,0.6910618792971734
lh_208_69,lh_7003_113,0.6302521008403361
lh_208_69,lh_7008_102,0.5767761650114591
lh_208_69,lh_7008_113,0.5217723453017571
lh_208_69,lh_7008_129,0.5682200152788388
lh_208_85,lh_208_99,0.973414820473644
lh_208_85,lh_208_102,0.5611917494270435
lh_208_85,lh_208_103,0.9645530939648587
lh_208_85,lh_208_106,0.7842627960275019
lh_208_85,lh_208_113,0.8548510313216195
lh_208_85,lh_208_114,0.9633307868601986
lh_208_85,lh_208_121,0.9446906035141329
lh_208_85,lh_208_122,0.9526355996944232
lh_208_85,lh_208_126,0.5576880938694319
lh_208_85,lh_208_143,0.7784568372803667
lh_208_85,lh_7001_101,0.5006875477463713
lh_208_85,lh_7001_112,0.5410236822001527
lh_208_85,lh_7003_62,0.5359182886518681
lh_208_85,lh_7003_102,0.6904507257448433
lh_208_85,lh_7003_113,0.6287242169595111
lh_208_85,lh_7008_102,0.5758594346829641
lh_208_85,lh_7008_113,0.5223834988540871
lh_208_85,lh_7008_129,0.5648586707410237
lh_208_94,lh_208_99,0.5810542398777693
lh_208_94,lh_208_103,0.5948051948051948
lh_208_94,lh_208_110,0.5764705882352941
lh_208_94,lh_208_113,0.6051948051948052
lh_208_94,lh_208_114,0.5935828877005348
lh_208_94,lh_208_121,0.652864782276547
lh_208_94,lh_208_122,0.5929717341482047
lh_208_94,lh_208_143,0.7167303284950344
lh_208_94,lh_209_48,0.627807486631016
lh_208_99,lh_208_102,0.5520244461420932
lh_208_99,lh_208_103,0.9779984721161191
lh_208_99,lh_208_106,0.7775401069518717
lh_208_99,lh_208_110,0.9987776928953399
lh_208_99,lh_208_113,0.8634071810542399
lh_208_99,lh_208_114,0.9776928953399542
lh_208_99,lh_208_121,0.9767761650114591
lh_208_99,lh_208_126,0.5619697682945332
lh_208_99,lh_208_143,0.7986249045072574
lh_208_99,lh_7001_101,0.5187165775401069
lh_208_99,lh_7001_112,0.5514132925897631
lh_208_99,lh_7003_62,0.5432701257068236
lh_208_99,lh_7003_102,0.6886172650878534
lh_208_99,lh_7003_113,0.6244461420932009
lh_208_99,lh_7008_102,0.5559969442322383
lh_208_99,lh_7008_129,0.574942704354469
lh_208_102,lh_208_110,0.5373567608861727
lh_208_102,lh_208_113,0.8236822001527884
lh_208_102,lh_208_114,0.573109243697479
lh_208_102,lh_212_74,0.5511077158135982
lh_208_102,lh_7008_113,0.5122994652406417
lh_208_103,lh_208_106,0.7983193277310925
lh_208_103,lh_208_113,0.8679908326967151
lh_208_103,lh_208_114,0.9981665393430099
lh_208_103,lh_208_121,0.9685255920550038
lh_208_103,lh_208_122,0.9914438502673797
lh_208_103,lh_208_143,0.8285714285714286
lh_208_103,lh_7001_112,0.5083269671504965
lh_208_103,lh_7003_102,0.6626432391138274
lh_208_103,lh_7003_113,0.5957219251336898
lh_208_103,lh_7008_102,0.5440794499618029
lh_208_103,lh_7008_129,0.5761650114591291
lh_208_105,lh_208_124,0.7010866501405809
lh_208_105,lh_208_126,0.7037237751541338
lh_208_105,lh_208_129,0.733231474407945
lh_208_105,lh_208_130,0.7914981008687084
lh_208_105,lh_208_141,0.6229182582123759
lh_208_105,lh_7001_69,0.5025210084033613
lh_208_105,lh_7001_85,0.5009931245225363
lh_208_105,lh_7001_99,0.5052711993888465
lh_208_105,lh_7001_122,0.5801375095492742
lh_208_106,lh_208_110,0.7836516424751719
lh_208_106,lh_208_113,0.5746371275783041
lh_208_106,lh_208_114,0.7992360580595874
lh_208_106,lh_208_121,0.7356760886172651
lh_208_106,lh_208_122,0.8267379679144385
lh_208_106,lh_208_143,0.5932773109243697
lh_208_106,lh_7001_112,0.521161191749427
lh_208_106,lh_7003_62,0.5071235935199586
lh_208_106,lh_7003_102,0.6030557677616502
lh_208_106,lh_7003_113,0.5367456073338426
lh_208_110,lh_208_113,0.8585179526355997
lh_208_110,lh_208_121,0.9773873185637891
lh_208_110,lh_208_126,0.5634989377320693
lh_208_110,lh_208_143,0.8038197097020626
lh_208_110,lh_7003_62,0.5441891053386931
lh_208_110,lh_7003_102,0.6831168831168831
lh_208_110,lh_7003_113,0.6183346065699007
lh_208_110,lh_7008_102,0.5538579067990833
lh_208_110,lh_7008_129,0.574025974025974
lh_208_113,lh_208_114,0.8698242933537051
lh_208_113,lh_208_121,0.9113827349121467
lh_208_113,lh_208_122,0.841711229946524
lh_208_113,lh_208_143,0.7298701298701299
lh_208_113,lh_212_74,0.5129106187929717
lh_208_113,lh_7003_102,0.6394194041252865
lh_208_113,lh_7003_113,0.5822765469824294
lh_208_113,lh_7008_102,0.5807486631016042
lh_208_113,lh_7008_129,0.5495798319327732
lh_208_114,lh_208_122,0.9923605805958747
lh_208_114,lh_208_143,0.839266615737204
lh_208_114,lh_7001_112,0.5080213903743316
lh_208_114,lh_7003_102,0.6617265087853323
lh_208_114,lh_7008_102,0.5483575248281131
lh_208_114,lh_7008_129,0.574331550802139
lh_208_121,lh_208_122,0.9624140565317036
lh_208_121,lh_208_126,0.5423963994940705
lh_208_121,lh_208_143,0.8508785332314744
lh_208_121,lh_7001_112,0.5141329258976318
lh_208_121,lh_7003_62,0.5028350219045679
lh_208_121,lh_7003_102,0.6656990068754775
lh_208_121,lh_7003_113,0.5972498090145149
lh_208_121,lh_7008_102,0.5401069518716578
lh_208_122,lh_208_143,0.8261268143621084
lh_208_122,lh_7001_112,0.5153552330022918
lh_208_122,lh_7003_102,0.6623376623376623
lh_208_122,lh_7003_113,0.5963330786860198
lh_208_122,lh_7008_129,0.5709702062643239
lh_208_124,lh_208_126,0.7102503773742205
lh_208_124,lh_208_130,0.7635306384921832
lh_208_124,lh_7001_103,0.5054310041598253
lh_208_124,lh_7001_122,0.5046661267322227
lh_208_126,lh_208_130,0.8466483011937558
lh_208_126,lh_7001_101,0.5419376486628096
lh_208_126,lh_7001_112,0.5700743663134746
lh_208_126,lh_7003_62,0.5238758989604736
lh_208_130,lh_208_135,0.5832252234762855
lh_208_130,lh_7005_136,0.5207213040649624
lh_208_135,lh_7005_136,0.6079078110550922
lh_208_141,lh_7003_62,0.5841647193250142
lh_208_141,lh_7003_141,0.5275783040488923
lh_208_143,lh_7005_99,0.5294926712188796
lh_208_143,lh_7008_129,0.5144385026737968
lh_212_74,lh_212_83,0.6027501909854851
lh_212_74,lh_212_88,0.5853323147440794
lh_212_74,lh_7005_69,0.5263962120947623
lh_212_74,lh_7005_99,0.5120721331181718
lh_212_83,lh_212_88,0.9752482811306341
lh_212_83,lh_215_43,0.6207003148066708
lh_212_88,lh_215_43,0.5818683246685195
lh_215_37,lh_215_42,0.5418704219746455
lh_215_37,lh_215_43,0.6257454158876117
lh_215_37,lh_215_44,0.5839829097518212
lh_215_37,lh_215_46,0.7897631779984721
lh_215_40,lh_215_42,0.7177567320967033
lh_215_40,lh_215_44,0.714198413313337
lh_215_42,lh_215_44,0.8034240387351083
lh_215_43,lh_215_46,0.696223949169847
lh_215_44,lh_7003_102,0.5274339234633696
lh_215_44,lh_7003_113,0.5008406163979896
lh_215_44,lh_7008_102,0.5191808281672171
lh_215_44,lh_7008_113,0.500229276005682
lh_215_44,lh_7008_129,0.5207091791479861
lh_226_56,lh_226_65,0.6103896103896104
lh_7001_69,lh_7001_85,0.999694423223835
lh_7001_69,lh_7001_101,0.8774637127578304
lh_7001_69,lh_7001_103,0.9972498090145149
lh_7001_69,lh_7001_112,0.8420168067226891
lh_7001_69,lh_7001_122,0.8872421695951108
lh_7001_85,lh_7001_99,0.998472116119175
lh_7001_85,lh_7001_101,0.8777692895339955
lh_7001_85,lh_7001_103,0.9975553857906799
lh_7001_85,lh_7001_112,0.8423223834988541
lh_7001_85,lh_7001_122,0.8906035141329259
lh_7001_99,lh_7001_101,0.8737967914438503
lh_7001_99,lh_7001_103,0.9960275019098549
lh_7001_99,lh_7001_112,0.8383498854087089
lh_7001_99,lh_7001_122,0.893659281894576
lh_7001_101,lh_7001_112,0.9880825057295646
lh_7001_101,lh_7001_122,0.7503437738731856
lh_7001_103,lh_7001_122,0.9019098548510314
lh_7003_62,lh_7003_102,0.6010126792426208
lh_7003_62,lh_7003_113,0.5722179841107113
lh_7003_62,lh_7003_121,0.5526130852974964
lh_7003_62,lh_7003_124,0.5064466854138102
lh_7003_62,lh_7003_141,0.6949017649652831
lh_7003_62,lh_7015_62,0.602030544190454
lh_7003_102,lh_7003_113,0.9841100076394194
lh_7003_102,lh_7003_121,0.7671504965622613
lh_7003_102,lh_7003_141,0.7390374331550802
lh_7003_102,lh_7008_102,0.761344537815126
lh_7003_102,lh_7008_113,0.7546218487394958
lh_7003_102,lh_7008_129,0.6678380443086326
lh_7003_113,lh_7003_121,0.8252100840336134
lh_7003_113,lh_7003_124,0.5316196565844423
lh_7003_113,lh_7003_141,0.7619556913674561
lh_7003_113,lh_7008_102,0.7411764705882353
lh_7003_113,lh_7008_113,0.7555385790679908
lh_7003_113,lh_7008_129,0.6345301757066463
lh_7003_121,lh_7003_124,0.6280829007227483
lh_7003_121,lh_7003_141,0.8377387318563789
lh_7003_121,lh_7015_62,0.5764733685174809
lh_7003_124,lh_7003_141,0.708622053765207
lh_7003_124,lh_7015_62,0.5432753287007852
lh_7003_141,lh_7015_62,0.6749555139640543
lh_7005_56,lh_7005_62,0.5919358778132197
lh_7005_56,lh_7005_69,0.5137138069847869
lh_7005_69,lh_7005_99,0.965538323289464
lh_7005_105,lh_7005_134,0.8328495034377388
lh_7008_102,lh_7008_113,0.9749427043544691
lh_7008_102,lh_7008_129,0.86707410236822
